"Train Accuracy = 49.9999970198"
"Loss = 0.69441"
"name","description","tweet_text","link_color","sidebar_color","true label","predicted label","correct_prediction"
"DenuuSanchezzzz","","1 tweep followed me in the past day. Feels great! Do you also want to feel awesome? Check out https://t.co/qpXTR1gDLk","0084B4","FFFFFF","1","1","True"
"ZeboimG","Someone with way too many weird hobbies

_______

teradaochiko fan","@ydnkm You must attempt communication via GTS vocabulary and slap signals.","0084B4","C0DEED","0","1","False"
"LexiCheekz","I just want to see the world ","Too open with some people and too held back with others _","9999","EEEEEE","1","1","True"
"FrankeeCastro","just a Puerto Rican thats thicker than a bowl of oatmeal. c/o 2016 babbbyyyy","@alerod7712 @Caylzbby um ouch..... and well hello there Alexis.","0084B4","C0DEED","1","1","True"
"KyleBoulwareBSM","Send good vibes, get good vibes L.O.A Not an asshole, I just don't give af a lot","I said from the beginning we were going all the way and it was a completely unbiased prediction. I just knew the talent we had before.","774804","0","0","1","False"
"joceverright","THS sophomore. dancer. instagram: joceverright","And the violin","0084B4","C0DEED","1","1","True"
"msmegancotto","I'm a mom just trying to figure this out","He jests at scars who never felt a wound. -- Shakespeare, ""Romeo and Juliet, II. 2""","0084B4","C0DEED","1","1","True"
"ThePugnificent","peace motherfuckers.  IG: PugnificentDesigns ","@2KSupport after 9 months and thousand of tweets and emails later, y'all giving an official statement? K","2750","EEEEEE","0","1","False"
"fantasybballbot","","team with david west, puss n boots, jerry west, Russell westbrook, and derrick rose","0084B4","C0DEED","0","1","False"
"Istvan1976","Fussball-Hure","@paterson1903 @Bigparsman which one? Don't think I could pull off the shopping bag to the village store for cider and kids comics","0084B4","C0DEED","0","1","False"
"heatherhollaa","sometimes you gotta work a little so you can ball a lot. l'arte d'arrangiarsi. 6/9/15 #TRIO","hep B shots are the real fucking deal. I definitely started tearing up when I got it. _","7727C2","FFFFFF","1","1","True"
"don67428","to each his own","@arabieIla it was the middle finger","0084B4","C0DEED","0","1","False"
"StanTheMan973","Guess who's back... IG & Snap Chat - youngkemosabi R.I.P. Pops! Beleon & Noodie! NJ!!!","Don't want a job where I gotta take work home and do it on my time ___","0084B4","C0DEED","0","1","False"
"JonesMichael23","Respect me","The way this dude looks just makes me want to knock him out","0084B4","C0DEED","0","1","False"
"ZappaJuanita","We'll always have Paris.","I am big! It's the pictures that got small. _","0084B4","C0DEED","1","1","True"
"ksaw_7","one step at a time, no need to rush.","Should I sacrifice a shower and lay down for an hour? #dailydecisions","9266CC","0","1","1","True"
"TurnerMillen","Lazy Cat Lover. Follow and Enjoy everyday's fresh Fan Images","#EndyDepression: https://t.co/QrFt9UPE9W  Getting the #Most Out of Your #Meditation https://t.co/knNSaHDXmh","89C9FA","0","1","1","True"
"yuribrigadir","Inventor. There's madness in my method. http://t.co/wIKlqaBHuI Views are my own.","If you want to solve multimillion dollar problems, start at making math easier : https://t.co/ukCImiX3R5 #entrepreneurship #math","0084B4","C0DEED","0","1","False"
"we_made_1t","*Graduate of Olive Branch High School. *Freshman at Mississippi State University.","Dude in the elevator smell like vinegar and booty. Booty vinegar if you will.","0084B4","C0DEED","0","1","False"
"zlipp","Roosevelter. Data, machine learning geek. Below average human, above average Smash Bros. player. Probably complaining about the weather.","The Moorhead Center Mall: Where No One Can Hear You Scream","EB2323","A8C7F7","0","1","False"
"TannerTolbertLv","Fan twitter of Tanner Tolbert.  Not his actual twitter.  Just a huge fan.","tanner_tolbert: Last October I was single and had no idea I was goin... https://t.co/sBnMWmPWIr #TannerTolbert https://t.co/RIi4tdMQH4","89C9FA","0","0","1","False"
"KEVlNOWENS","what do those run on","MY GRANDMA TRIED BRAINWASHING ME INTO THINKING I WAS RACIST SO SHES LIKE ""if a black guy came over and stared you down what would you feel""+","0084B4","C0DEED","0","1","False"
"itsbloodybroken","I don't even have an ankle.","@nourrytinhat I was thinking that the other night!","114561","C0DEED","1","1","True"
"shearerphotovid","Husband and Wife Photographer and Videographer. Weddings, Portraits, Video, Commercial.","Man I love #idaho, just editing pretty all day and I'm blessed to live in such an amazing place! But_ https://t.co/8OF90pupOA","3B94D9","0","0","1","False"
"queenzingha","23. West Indian American. T.","In the mood to watch The Notebook ..a good cry @ a love story is my thing ___","94D487","5ED4DC","1","1","True"
"3IRIS6Miranda19","I will go into survival mode if tickled","Remember when esteban was calling the dead but got put on hold https://t.co/XJ1Tjd8d5z","4A913C","0","1","1","True"
"UtdMahon","Football Enthusiast // #mufc #RedArmy Bastian Schweinsteiger. #ManchesterIsRed","Even when hes happy he does ""the face""  https://t.co/yIzYFPk4yl","F01313","0","0","1","False"
"andyhartleyuk","Mapping geek, ecologist, data lover. I use twitterfeed to autotweet UK wildlife Flickr pics. I then use Twitter Widgets HTML with expanded pics to practice id.","Kingfisher: kban2011 has added a photo to the pool:
 https://t.co/IpcCX7zUDa","0084B4","C0DEED","0","1","False"
"Ozzy_bby","#ProudLatina#24yrsyoung#FootballBaseball__Basketballhatemelovemeudontmakemeorbrakmefollowme","And the car shopping begins __ __ #whattochoose #carcarcarseverywhere https://t.co/eUepCV6t4X","0084B4","C0DEED","1","1","True"
"khamaria_alahna","Romans 12:9","I just want to hangout and shop with @Zendaya for a day. I feel like I relate to her personality _","F5ABB5","EEEEEE","1","1","True"
"datafrancois","I'm the twitter bot tweeting only the english posts of @FrancoisGoube, CEO @Cogniteev, @OnCrawl, @DocidoHQ","The dirtiest object in your bedroom may surprise you https://t.co/fLiFhknqjA","0084B4","C0DEED","0","1","False"
"SketchBolt","Nerd  Gamer  Book Horse  College student  (He/him)","@Nasharchy And farming for legendary guns is always fun! :D","C42FC4","FFFFFF","1","1","True"
"minnieminzyminx","A bit too cheeky for my own good :p (31, UK, geeky, quirky, also talks before thinking...bad habit I know but meh -_-) instagram: @minxyminnieminzy","When you love someone you gotta love everything about them including the nose picking! #quoteoftheday #fallinlove 
https://t.co/5UWbfPsBjU","0099B9","5ED4DC","1","1","True"
"derraero","http://t.co/s95Wh4yknv                           babyself/toddlerself","HES FUCKING DOING IT AGAIN I AM IN THE NEXT ROOM I WAS TRYINF TO DO HOMEWORK AND THIS HAPPENS FUCK OFF https://t.co/Fm5lsXSDkq","0084B4","C0DEED","1","1","True"
"iamdarrenhall","I'm a freelance web developer based in Manchester! I do great HTML, CSS, JS, PHP and MySQL. I'm also an experienced ExpressionEngine and Wordpress developer.","Reading @DrAliceRoberts The Incredible Unlikeliness of Being whilst on holiday in Morocco, in front of a log fire. Perfect. Oh, sperm worms!","75797A","FFFFFF","0","1","False"
"42HERMINIA_Hail","Mermaids dont do homework","15 Times People Use Selfie Sticks the Wrong Way https://t.co/Hq0K02HspP","4A913C","86A4A6","1","1","True"
"lynn_davy","Bead artist. Eccentric. Jewellery designer. Etsy seller. Parent. Spouse. Introvert. Tutorial writer. Good cook. Fancrone. Botanist. Cheapskate. Take your pick!","#dorsethour The #dorsetteam Autumn fair was a lot of fun, looking forward to the Xmas one in Wimborne 5 Dec! https://t.co/0Hzgk823uv","0084B4","C0DEED","1","1","True"
"BuncyTheFrog","Just call me Buncy. Programmer, Randomizer.","I was thinking about making congee, and then I get sick. Coincidence?!?! I THINK NOT.","FF3300","86A4A6","1","1","True"
"HerbNeu","Semi-retired mAd man, network exec., publisher. Managing Editor of the Planet Weekly. Spouse is a brilliant non-fiction writer (IMHO).  Seen in Chantix ad.","Ignore Your Selfish Genes, and Just Adopt https://t.co/PcXQakvWSw via @ozy","1F98C7","C6E2EE","0","1","False"
"dmboutin","Digital #Marketing & #Blogging @Lab3Marketing, MBA, @Hubspot Certified #InboundMarketing | Dad, Husband, 80s Geek, Sarcasm Aficionado, UGA Dawg 4 Life","How to Immediately Gain Traction on #Twitter |#SMM https://t.co/oV8sYjVuQg https://t.co/6kiv3zBe4o","0084B4","C0DEED","0","1","False"
"pdlmma","things are ok","@Beastin25_8 @BoxingBusch @NakedGambling @EvilGregJackson It absolutely is not necessary and it's not fitting to the arc.","0084B4","C0DEED","1","1","True"
"Karchswag","Playwright. Dramaturg. Butter Side Upper. Let it be like breathing.","What did the chicken say when he crossed the road? HELLO FROM THE OTHER SIDEEEEEEE.","DD2E44","FFFFFF","0","1","False"
"Jace_321","Link for bio below:
http://t.co/IdN41EUMCn","@EchoBornToFight *Jace frowned heavily and rubbed his beard, holding her close with a small sigh. He planted a kiss to her cheek, burying--","0084B4","C0DEED","0","1","False"
"estelledaviesjo","LOVE animals,I have 3 lovely dogs,3 lovely children, Love to bake ,and cook fab Hot sauces etc .Love GOWER and walking,favorite beach,Llangennith+Rhossili","#Birthday Walk at #Llangennith today ____ with my special people in my life and___#Gower #GowerGoodies_ https://t.co/9ql98r76DK","B40B43","CC3366","1","1","True"
"dysphasiatic","mouse jockey, code monkey, radio dj, reader, dreamer, world traveler, loud introvert, occasional fuckwit. forgive me; I'm trying to be a better human.","@councilchild thx. I am going into full obnoxious promotion mode...while the boss isn't looking _","ABB8C2","0","0","1","False"
"KarenLMcHale","Photographer. Specializes in portrait, headshots, fashion, street/documentary and fine art photography.  Inquires, karenlmchalephotography@charter.net","Viewing the Basquaits....#streetphotography #urban #thebroadmuseum #museums #dtla @ The Broad https://t.co/vZ6wlQqWIV","ABB8C2","0","1","1","True"
"princesaxcoco","| african princess  | my Jamaican prince : @mickymousey sc: im_tupacin","That is exactly what this ignorant ass boy just said on the bus, like please take several seats. That girl probably doesn't know you exist.","00FFD5","FFFFFF","1","1","True"
"SfAfroo","__  __ ","Even though they might not appreciate it or acknowledge it, always go above and beyond for them. It will pay off soon ;)","1489B3","FFFFFF","0","1","False"
"SCBierton","","@inside_ayles  and Bierton too!","0084B4","C0DEED","1","1","True"
"sssparling","Husband, father, New Yorker, avid sports fan, and lawyer.","@JamesWalkerNFL this is what #BillBelichick says before he destroys you. The #dolphins are a nice girl w a great personality. Sigh.","0084B4","C0DEED","0","1","False"
