"Train Accuracy = 57.9999983311"
"Loss = 0.663705"
"name","description","tweet_text","link_color","sidebar_color","true label","predicted label","correct_prediction"
"dahmartins","Purveyor of good times","Hey @McDonalds, #alldaybreakfast does nothing for me cuz I can't get BISCUITS here in MN. Come on. Mcmuffin's blow. Give us the choice!","0084B4","C0DEED","1","1","True"
"JMF1288","born & raised jersey girl. stay at home mom and wife.","The perfect allergy-friendly and gluten-free fall treat! Check out our new recipe! - https://t.co/cWPfEuMR8b","0084B4","C0DEED","1","1","True"
"Love_JasmineB","God Above AllBlessedPhilipians 4:13Athletic IndependentBiology Major#NCAT19 #RoyalT Bitches This Pretty,That's Seldom #EventLeague","@ChapoDinero_ when you're going to fry fish or chicken you put the flour or breading in the bag and shake it so it coats it b4 you fry it","740091","FFFFFF","1","1","True"
"StoneMaximilian","18yr old single Bi lad trying to make it in a big city ((18+ RP))","@SerenaJParker Now, I know you're one handed but can you maybe put some bread in the toaster for me please *I grin and get dressed*","0099CC","FFF8AD","0","1","False"
"bgmplus","All the stuff i didn't write about... I'm a gamer, writer and reporter my nickname Reider.","Destiny's Halloween event adds masks, quests, and the Thriller dance: 
                        700 silver for ...... https://t.co/eXUOJw0oLK","0084B4","C0DEED","1","1","True"
"timdogg98","#ComicBookChronicles @CBChron founder. Editor-in-Chief of @thekliqnation. Comic book reviewer, podcaster #RABBLERABBLE","@RyanStegman I need to take a look at the Pistons roster.  But you can't beat this pic of your head coach https://t.co/IZlBqBG1pb","0084B4","FFFFFF","0","1","False"
"JesseASweeney","sometimes i say stuff","@alexmoore81 no the military is dif we give up some rights so we can protect others...cowards like you just roll over and spread legs","0084B4","C0DEED","0","1","False"
"SirMikeCrayton","Work boyfriend extraordinaire #Ramsnation #sagittarius #HeatNation #AfroAmerican #CardinalsNation...... Imma OLD CAT, A kitten cant tell me shit","I tweet for the niggas that will walk up to you and yo woman and hug yo woman without even speaking to you....","38543","FFFFFF","0","1","False"
"LavetteSlater","3x Emmy Award Winning Hair Stylist| Creator of Makeover Series Creating a New You| Seen on ABC , CBS , Own and more....","#FallMakeup 
@MakeupForeverUS might have the perfect matte nude for you!
In rough artist intense in matte flesh! https://t.co/vIs1OkVdjT","2FC2EF","181A1E","0","1","False"
"HarriottRebecca","Passionate about the NHS, People, Possibilities and Potential. Chief Officer New Devon CCG","@jgcope thanks johnathan I found it very worthwhile and great to meet you all. I'm looking forward to an invite back in due course :)","0084B4","C0DEED","1","1","True"
"araluen7","Pokemon VGC Competitor.","@WiretapVGC I could get it from my shop. I also got a lot days off in Nov if you and @Dozzalon want to make a night to play","2FC2EF","181A1E","0","1","False"
"erskinechilders","History, politics and books. Yes, he's my great-grandfather. No, I'm not a politician. Views mine, RTs normally not endorsement, etc.","@EFFanning @seanagael Will be very interesting seeing the airbrushing of their own history next year! Sweep whats been said under the rug","ABB8C2","FFFFFF","0","1","False"
"ketinaharriet","singer, songwriter and actress who is based in Nairobi, Kenya","@starlightsounds @captain_stryka you went and became silent, #starlightsounds need to see the service","0084B4","C0DEED","1","1","True"
"dianavaldes96","usnavy_","I really wanna go to the pool &amp; swim laps to bad the pool is 30min from my house :((((","9266CC","DBE9ED","1","1","True"
"Kympocalypse","I'm complicated in my simplicity. Or simple in my complexity.
NO energy for anti, I think only in positives. Lovemonger.
I hope we all make it.","Reading Debt Snowball and it suggests finding an extra 500 a month and that is ""very doable""...um...","330066","0","1","1","True"
"uzpinto","SOY  PADRE DE FAMILIA CRISTIANO PRACTICANTE
PREDICADOR DEL EVANGELIO DE CRISTO A LAS NACIONES","My son, attend to my wisdom,
     And my understanding incline thine ear (God the Father) pv 5-1","006EB3","FFFFFF","0","1","False"
"Anica1234","33 years young....live for my 3 beautiful children. Matt Ross and http://t.co/WN2doFTYf4","I love my sister Charlotte sooooooooo much she is my favourite and she is always there for me xxx love you to pieces xxxxx","FF0000","65B0DA","1","1","True"
"_coldel","i talk a lot about nothing important","@hands0nic I'm telling Rupurt that Lil is becoming a bitch and he should get her in check or they need to break up","0084B4","C0DEED","1","1","True"
"ChadChadsurfing","small business owner surfboard shaper family man loves being a dad","@FaithfulChickie @sascat @skookerG lol I voted Bill Clinton in the first time I have four children this is not my first horse and pony show","0084B4","C0DEED","0","1","False"
"ashalizir","Motovlogger from London, make sure you go check out my videos on YouTube. @Ashalizir on Instagram","THE STRUGGLE IS REAL! #motorcycle #motovlogger #motovlog #dominospizza  https://t.co/BeOXkr8r7r","0084B4","C0DEED","1","1","True"
"williamle8300","Psalm 27:4","When you attempt to understand both sides of an argument the tendency is towards creating a system with two competing sides","DDDDDD","0","0","1","False"
"trapking_P4L","","For The Record - @Y0UNG_TEDD #P4LApproved https://t.co/nKQ9WpdbYe","0084B4","C0DEED","0","1","False"
"KhatoonHazara"," My Heart Beats With Every Breath You Take ","Sometimes I feel like shit, then I think of _____ and I feel like I could read all the hate comments in the world and not break a nerve.","F5ABB5","C0DEED","1","1","True"
"SteppinOnStars","Won't Stop Till I See Heaven at The Gates #ChicagoBulls","Ain't done shit all day and it feels good","CC0A1B","6A6E75","0","1","False"
"saranicolejones","life's a beach","Really hard doing a sociology degree, lecture got cancelled coz the film wouldn't work","0099B9","FFFFFF","1","1","True"
"LaparisB_","New Page _","my brother miss me and i just seen the nigga this morning #c","0084B4","C0DEED","1","1","True"
"juliaxwhite","Keep an open mind. It brings open hearts and open eyes.","i can always count on the Pats for earning me a free Dunks coffee every monday __","0084B4","C0DEED","1","1","True"
"Smell_W","snapchat- smell_webster  J x","@izzy_booth yeah do it!! was just wondering if you copied the sheet as well haha x","990000","DFDFDF","1","1","True"
"DiamondSims7","Life goes on .. ","I just wanna go to sleep but I have to get Honesty off the bus , ugh !","0084B4","C0DEED","1","1","True"
"LandisSebSides","Whitesiders aren't fans, they're legends and legends never die.","@itsSamCollins YOURE IN TORONTO AND I DIDNT KNOW WTF BYE","F5ABB5","0","1","1","True"
"dodd_haley","Soccer___","I no joke just saw elise and starting balling my eyes out____","0084B4","C0DEED","1","1","True"
"xprettyy","She even badder because every nigga havent had her #SIUC","I'm so ready for hit the floor to come back on g","E81092","FFFFFF","1","1","True"
"ssalerno719","","I need a job on my days off during the week since everyone works and I sit at home bored. #retailjob  #bored #iwouldratherwork","0084B4","C0DEED","1","1","True"
"1970sBOY","Blogger. British Guild Of Beer Writers Member. Author @BeerInEssex Co-author @BeerEastAnglia #SomeRandomBlokeOffTwitter #BeerInEssex","@MylesLambert @BeerOClockShow @mjpo007 It's not my call (but I think that'd be great!). Hopefully this is the first of many county showcases","0084B4","C0DEED","0","1","False"
"marcus_lliurps","There will always be compassion","the spirits of the dead are not only around us but they are also inside of us","0A0A0A","0C0D0D","0","1","False"
"ValerieHoobler","Textbook Capricorn.","And it's even funnier because I think that fake eyelashes for everyday use looks pretty stupid soooo that's just even better _","B511D6","0","1","1","True"
"BIG_SEXXYY","#14 RIP 10/16/14","@leezasesteaga  aww don't feel sad,.its just some ppl are fucked up in the head&amp; fuck over the wrong ppl without noticing it","0F0E0E","0","0","1","False"
"babeniallniall2","","Hi princess of light eyes _. 
You and a great makeup artist __ .
You are awesome Lottie . 
Please follow me babe ? __ @lottietommo x528","0084B4","C0DEED","1","1","True"
"JonFreier","Executive Vice President of T-Mobile Retail and T-Mobile@Work","Honor of a lifetime to serve the @TMobile Sales and Operations team! A special thank you before we announce full Q3 earnings! #BeMagenta","0084B4","C0DEED","0","1","False"
"gabynjh","hey","buy me tickets to see tp next july and I'll love you forever :)","9266CC","0","1","1","True"
"JakeElman","Sportswriter, cigar lover, dreamer. Pro writer for @SportsBlog, @ustadium ambassador, and suffering Yankees/Nets/Jets fan. #FAU19","The amount 'good' rappers right now that have gotten big in the past five years (excluding Drake) is so slim. Most are trash.","51014","0","0","0","True"
"JoeRoth19","","@realjerryjones Greg Hardy is disrespectful and thuggish. It doesn't matter how good he is, you are damaging your Rep and the teams Rep","0084B4","C0DEED","0","1","False"
"inibtego1981","","The Cyber Activists Who Want to Shut DownISIS https://t.co/CPab6Y9Rhx","0084B4","C0DEED","1","1","True"
"glenchamberlain","Do whatever makes YOU happy, don't live to please others. snapchat glenchamberlain","In the end everyone turns out to be the person they swore they'd never become.","0084B4","C0DEED","0","1","False"
"kentucky_bi","25, Avi is me. my heart's like Ebay: you can bid or you can buy now with scotch. @__queenbiitchh is the bff and the reason for the name","PSA: pickles are fucking gross and should all be destroyed","0084B4","C0DEED","0","1","False"
"noffmutairi","I don't know.","What the hell? https://t.co/rgILgliIyL","3484BA","F7F7F7","1","1","True"
"ChadChadsurfing","small business owner surfboard shaper family man loves being a dad","@FaithfulChickie @sascat @skookerG and yes Bernie Sanders will definitely win that's why  this political revolution is a beautiful thing","0084B4","C0DEED","0","1","False"
"PsychedelicFlys","P O E T * A T * L A R G E... 
424-228-0417","vision... a story vaguely from the mid 20th century -about the subtle and clandestine racketeering of everything .. a corporatist fasiscim","F20C2B","0","1","1","True"
"Chaamawar","","Watch ""HOMOSEXUALS ARE IN CHARGE OF THE CHRISTIAN CHURCH - ISUPK CHICAGO"" on YouTube https://t.co/WqzZRbAtoI","0084B4","C0DEED","0","1","False"
"MayceeSteele","When life throws you a curve, swerve : mayceebug","just took a long walk on the beach while listening to hello by Adele. My life is a music video. hair was blowing in the wind and everything","786F68","F0E661","1","1","True"
